Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1643690.9,0,42.31,2.572,211.0963582,8.106
1,12-02-2010,1641957.44,1,38.51,2.548,211.2421698,8.106
1,19-02-2010,1611968.17,0,39.93,2.514,211.2891429,8.106
1,26-02-2010,1409727.59,0,46.63,2.561,211.3196429,8.106
2,05-02-2010,2136989.46,0,40.19,2.572,210.7526053,8.324
2,12-02-2010,2137809.5,1,38.49,2.548,210.8979935,8.324
2,19-02-2010,2124451.54,0,39.69,2.514,210.9451605,8.324
2,26-02-2010,1865097.27,0,46.1,2.561,210.9759573,8.324
3,05-02-2010,461622.22,0,45.71,2.572,214.4248812,7.368
3,12-02-2010,420728.96,1,47.93,2.548,214.5747916,7.368
3,19-02-2010,421642.19,0,47.07,2.514,214.6198868,7.368
3,26-02-2010,407204.86,0,52.05,2.561,214.6475127,7.368
4,05-02-2010,2135143.87,0,43.76,2.598,126.4420645,8.623
4,12-02-2010,2188307.39,1,28.84,2.573,126.4962581,8.623
4,19-02-2010,2049860.26,0,36.45,2.54,126.5262857,8.623
4,26-02-2010,1925728.84,0,41.36,2.59,126.5522857,8.623
5,05-02-2010,317173.1,0,39.7,2.572,211.6539716,6.566
5,12-02-2010,311825.7,1,39.81,2.548,211.8004698,6.566
5,19-02-2010,303447.57,0,41.14,2.514,211.8471283,6.566
5,26-02-2010,270281.63,0,46.7,2.561,211.8771468,6.566
6,05-02-2010,1652635.1,0,40.43,2.572,212.6223518,7.259
6,12-02-2010,1606283.86,1,40.57,2.548,212.7700425,7.259
6,19-02-2010,1567138.07,0,43.58,2.514,212.8161546,7.259
6,26-02-2010,1432953.21,0,47.1,2.561,212.845337,7.259
7,05-02-2010,496725.44,0,10.53,2.58,189.3816974,9.014
7,12-02-2010,524104.92,1,25.9,2.572,189.4642725,9.014
7,19-02-2010,506760.54,0,27.28,2.55,189.5340998,9.014
7,26-02-2010,496083.24,0,24.91,2.586,189.6018023,9.014
8,05-02-2010,1004137.09,0,34.14,2.572,214.4714512,6.299
8,12-02-2010,994801.4,1,33.34,2.548,214.6214189,6.299
8,19-02-2010,963960.37,0,39.1,2.514,214.6664878,6.299
8,26-02-2010,847592.11,0,37.91,2.561,214.6940735,6.299
9,05-02-2010,549505.55,0,38.01,2.572,214.6554591,6.415
9,12-02-2010,552677.48,1,37.08,2.548,214.8056534,6.415
9,19-02-2010,511327.9,0,43.06,2.514,214.8506185,6.415
9,26-02-2010,473773.27,0,43.83,2.561,214.8780453,6.415
10,05-02-2010,2193048.75,0,54.34,2.962,126.4420645,9.765
10,12-02-2010,2176028.52,1,49.96,2.828,126.4962581,9.765
10,19-02-2010,2113432.58,0,58.22,2.915,126.5262857,9.765
10,26-02-2010,2006774.96,0,52.77,2.825,126.5522857,9.765
11,05-02-2010,1528008.64,0,46.04,2.572,214.4248812,7.368
11,12-02-2010,1574684.08,1,48.01,2.548,214.5747916,7.368
11,19-02-2010,1503298.7,0,48.3,2.514,214.6198868,7.368
11,26-02-2010,1336404.65,0,52.79,2.561,214.6475127,7.368
12,05-02-2010,1100046.37,0,49.47,2.962,126.4420645,13.975
12,12-02-2010,1117863.33,1,47.87,2.946,126.4962581,13.975
12,19-02-2010,1095421.65,0,54.83,2.915,126.5262857,13.975
12,26-02-2010,1048617.17,0,50.23,2.825,126.5522857,13.975
13,05-02-2010,1967220.53,0,31.53,2.666,126.4420645,8.316
13,12-02-2010,2030933.46,1,33.16,2.671,126.4962581,8.316
13,19-02-2010,1970274.64,0,35.7,2.654,126.5262857,8.316
13,26-02-2010,1817850.32,0,29.98,2.667,126.5522857,8.316
14,05-02-2010,2623469.95,0,27.31,2.784,181.8711898,8.992
14,12-02-2010,1704218.84,1,27.73,2.773,181.982317,8.992
14,19-02-2010,2204556.7,0,31.27,2.745,182.0347816,8.992
14,26-02-2010,2095591.63,0,34.89,2.754,182.0774691,8.992
15,05-02-2010,652122.44,0,19.83,2.954,131.5279032,8.35
15,12-02-2010,682447.1,1,22.0,2.94,131.5866129,8.35
